Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
container-re-000000,Container Registry,8.051,GB,asia-northeast1,18.06,25.57,685002352.0,49897793.0,2023-01-26,2023-02-25,0.026,0.22408461,0.224085,18.8231
cloud-build-000001,Cloud Build,9.3509,Hours,us-east1,58.4,60.27,23279613.0,12444526.0,2024-07-12,2024-07-13,0.00308939,0.02797398,0.027974,2.3498
cloud-datapr-000002,Cloud Dataproc,195.6328,Hours,australia-southeast1,56.91,61.83,268971286.0,78320168.0,2024-06-01,2024-07-01,0.07444177,16.25702349,16.257023,1365.59
firestore-000003,Firestore,5874105.9173,Requests,southamerica-east1,15.09,13.33,73229062.0,159665291.0,2024-03-05,2024-03-12,1.57e-06,10.89785906,10.897859,915.4202
ai-platform-000004,AI Platform,5.623,Hours,asia-southeast1,69.78,58.19,148372736.0,18390474.0,2024-12-15,2024-12-29,1.03168683,6.49885703,6.498857,545.904
pub-sub-000005,Pub/Sub,3.045,GB,europe-west1,12.34,21.4,73660253.0,69412106.0,2023-04-15,2023-04-16,0.06542483,0.21981541,0.219815,18.4645
compute-engi-000006,Compute Engine,2767.0064,Hours,europe-north1,65.24,69.43,75467321.0,80506138.0,2023-02-14,2023-03-16,4.37928978,13574.60111095,13574.601111,1140266.4933
cloud-nat-000007,Cloud NAT,3481.2815,Hours,asia-northeast1,6.02,7.35,242973729.0,121985561.0,2024-07-19,2024-07-26,0.00896907,34.17111145,34.171111,2870.3734
cloud-memory-000008,Cloud Memorystore,818.0421,Hours,us-central1,44.89,78.61,40435005.0,197938045.0,2023-07-16,2023-08-15,0.05793328,45.37557831,45.375578,3811.5486
cloud-interc-000009,Cloud Interconnect,1877.3617,Hours,asia-northeast1,9.24,10.99,22046994418.0,18652400401.0,2023-08-27,2023-09-26,0.25403464,511.39251321,511.392513,42956.9711
cloud-memory-000010,Cloud Memorystore,3859.787,Hours,asia-southeast1,31.4,76.29,1331332271.0,92942540.0,2024-01-15,2024-01-29,0.14513494,604.56151161,604.561512,50783.167
dataflow-000011,Dataflow,4.2957,Hours,us-east1,73.36,67.94,907809529.0,237937150.0,2023-03-15,2023-04-14,0.04381071,0.18767476,0.187675,15.7647
cloud-data-f-000012,Cloud Data Fusion,446.3687,Hours,northamerica-northeast1,51.19,67.23,1159430811.0,116931027.0,2024-01-24,2024-01-31,0.93493766,435.00663442,435.006634,36540.5573
cloud-endpoi-000013,Cloud Endpoints,2128137.7457,Requests,us-east1,17.81,22.32,13275949.0,152721942.0,2023-11-29,2023-12-29,9.18e-06,19.55304847,19.553048,1642.4561
bigquery-000014,BigQuery,69.8122,GB,europe-west1,39.07,44.19,228725463.0,80729753.0,2024-02-15,2024-02-22,0.04743094,3.6607548,3.660755,307.5034
firestore-000015,Firestore,722873.7192,Requests,europe-west1,12.99,21.62,183671251.0,98383739.0,2023-08-06,2023-09-05,1.7e-06,1.26179048,1.26179,105.9904
cloud-sql-000016,Cloud SQL,4648.3733,Hours,asia-southeast1,62.17,60.55,1709748882.0,527502861.0,2023-09-29,2023-10-06,1.8942579,9993.76045237,9993.760452,839475.878
kubernetes-e-000017,Kubernetes Engine,1969.4656,Hours,us-central1,28.58,45.2,943885986.0,536203480.0,2024-03-14,2024-04-13,0.02973887,57.61859868,57.618599,4839.9623
cloud-cdn-000018,Cloud CDN,149.3764,GB,southamerica-east1,15.08,26.58,3090735091.0,6828624280.0,2024-05-20,2024-05-21,0.00931579,1.71797551,1.717976,144.3099
container-re-000019,Container Registry,1.7179,GB,asia-southeast1,14.42,12.86,13802425.0,9115292.0,2024-11-27,2024-12-11,0.026,0.04685658,0.046857,3.936
cloud-sql-000020,Cloud SQL,6198.1227,Hours,southamerica-east1,70.62,64.18,3761798317.0,837590380.0,2023-09-15,2023-10-16,0.0569884,437.04284719,437.042847,36711.5992
kubernetes-e-000021,Kubernetes Engine,4716.8938,Hours,asia-northeast1,53.24,36.78,667246086.0,2139193347.0,2024-11-29,2024-12-29,0.07917389,427.81500233,427.815002,35936.4602
cloud-load-b-000022,Cloud Load Balancing,2254.0989,Hours,asia-northeast1,25.61,35.76,53481557160.0,1176032550.0,2023-10-28,2023-11-11,0.02421487,58.32527458,58.325275,4899.3231
kubernetes-e-000023,Kubernetes Engine,2577.5281,Hours,europe-north1,67.31,60.19,1588328596.0,506573787.0,2024-05-27,2024-06-26,0.01957697,52.51568856,52.515689,4411.3178
container-re-000024,Container Registry,5.4421,GB,europe-north1,8.98,9.95,598277277.0,21832582.0,2024-10-16,2024-11-15,0.026,0.15782905,0.157829,13.2576
cloud-data-f-000025,Cloud Data Fusion,51.8766,Hours,southamerica-east1,43.35,60.58,416581637.0,149264873.0,2024-06-27,2024-07-28,0.76531485,47.10688648,47.106886,3956.9785
cloud-build-000026,Cloud Build,3.583,Hours,europe-west1,38.6,37.79,77802799.0,3450441.0,2023-11-11,2023-11-18,0.00470207,0.01826189,0.018262,1.534
cloud-armor-000027,Cloud Armor,43606458.1261,Requests,asia-northeast1,1.3,3.47,23078863.0,24315300.0,2024-05-12,2024-06-11,1.112e-05,516.43714325,516.437143,43380.72
cloud-cdn-000028,Cloud CDN,10807.046,GB,asia-southeast1,14.91,29.22,8200380340.0,2223681187.0,2024-11-06,2024-11-20,0.01118068,135.73327594,135.733276,11401.5952
compute-engi-000029,Compute Engine,4768.6,Hours,europe-west3,65.86,53.54,2133833954.0,1940348807.0,2023-08-05,2023-09-05,3.10750567,16562.82228091,16562.822281,1391277.0716
firestore-000030,Firestore,11317682.3179,Requests,europe-north1,26.44,23.95,65739147.0,27927546.0,2024-02-13,2024-03-15,1.13e-06,14.33148725,14.331487,1203.8449
cloud-storag-000031,Cloud Storage,2.4219,GB,northamerica-northeast1,7.54,10.32,5251069827.0,1173016096.0,2023-05-04,2023-05-11,0.00733655,0.018484,0.018484,1.5527
